config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_27,0.7,0.001,128,1024,0.0,1,knn,0.6695238095238094
config_28,0.3,0.001,256,1024,0.0,0,knn,0.9333333333333332
config_29,0.5,0.001,256,1024,0.0,1,knn,0.738095238095238
config_29,0.5,0.001,256,1024,0.0,2,mlp,0.8047619047619048
config_28,0.3,0.001,256,1024,0.0,4,knn,0.6866666666666668
config_27,0.7,0.001,128,1024,0.0,3,mlp,0.6666666666666666
config_28,0.3,0.001,256,1024,0.0,0,mlp,0.838095238095238
config_27,0.7,0.001,128,1024,0.0,4,knn,0.7933333333333332
config_28,0.3,0.001,256,1024,0.0,3,knn,0.8
config_27,0.7,0.001,128,1024,0.0,0,mlp,0.7047619047619047
config_29,0.5,0.001,256,1024,0.0,1,mlp,0.5342857142857144
config_29,0.5,0.001,256,1024,0.0,0,mlp,0.838095238095238
config_26,0.5,0.001,128,1024,0.0,3,knn,0.8
config_28,0.3,0.001,256,1024,0.0,1,knn,0.7666666666666666
config_29,0.5,0.001,256,1024,0.0,2,knn,0.8333333333333333
config_28,0.3,0.001,256,1024,0.0,1,mlp,0.5342857142857144
config_1,0.1,0.0001,512,1024,0.0,3,mlp,0.6333333333333333
config_29,0.5,0.001,256,1024,0.0,3,mlp,0.7
config_29,0.5,0.001,256,1024,0.0,3,knn,0.8666666666666666
config_30,0.7,0.001,256,1024,0.0,0,mlp,0.9333333333333332
config_3,0.5,0.0001,512,1024,0.0,1,knn,0.7314285714285714
config_30,0.7,0.001,256,1024,0.0,1,knn,0.698095238095238
config_3,0.5,0.0001,512,1024,0.0,2,knn,0.7047619047619047
config_30,0.7,0.001,256,1024,0.0,2,knn,0.8333333333333333
config_31,0.3,1e-05,256,1024,0.0,0,mlp,0.9333333333333332
config_29,0.5,0.001,256,1024,0.0,4,mlp,0.5533333333333333
config_3,0.5,0.0001,512,1024,0.0,4,mlp,0.7933333333333332
